Reviewer,PR Number,Review time (mins),Initial Response time (mins),Code Review Comments,PR Issue Comments,PR Review Comments,Total Comments,PR URL
raisedadead,PR 68851,1,1,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/68851
raisedadead,PR 67464,1440,1440,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/67464
raisedadead,PR 67434,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/67434
raisedadead,PR 67221,1380,1380,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/67221
raisedadead,PR 67187,608,608,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/67187
raisedadead,PR 67154,145,145,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/67154
raisedadead,PR 67147,200,200,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/67147
raisedadead,PR 67105,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/67105
raisedadead,PR 67104,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/67104
raisedadead,PR 66565,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66565
raisedadead,PR 66558,45,45,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66558
raisedadead,PR 66514,6240,6240,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66514
raisedadead,PR 66380,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66380
raisedadead,PR 66242,180,180,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66242
raisedadead,PR 66222,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66222
raisedadead,PR 65671,60,60,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65671
raisedadead,PR 65670,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65670
raisedadead,PR 65667,120,120,0,1,0,1,https://github.com/freeCodeCamp/freeCodeCamp/pull/65667
