PR#,Review Time,Review Time (working days),Review Time (mins),Initial Response Time (working days),Initial Response Time (mins),Code Review Comments,PR Issue Comments,PR Review Comments,Total Comments,PR Ready On,PR Merged On,Ready->Merge,PR Author,PR URL
69542,0s,0s,0,0s,0,0,0,0,0,2026-08-15T06:02:51Z,2026-08-15T13:39:32Z,7h 36m 41s,muhammadali-se,https://github.com/freeCodeCamp/freeCodeCamp/pull/69542
69538,34m,34m,34,34m,34,0,0,0,0,2026-08-14T12:27:04Z,2026-08-14T13:34:43Z,1h 7m 39s,Dario-DC,https://github.com/freeCodeCamp/freeCodeCamp/pull/69538
69536,0s,0s,0,0s,0,0,0,0,0,2026-08-14T03:48:34Z,2026-08-14T12:43:32Z,8h 54m 58s,noqokhxnh,https://github.com/freeCodeCamp/freeCodeCamp/pull/69536
69531,23m 14s,23m 14s,23,23m 14s,23,0,0,0,0,2026-08-13T20:16:39Z,2026-08-13T21:20:52Z,1h 4m 13s,lberge17,https://github.com/freeCodeCamp/freeCodeCamp/pull/69531
69530,31m 50s,31m 50s,31,30m,30,2,0,1,3,2026-08-13T20:03:13Z,2026-08-13T21:17:34Z,1h 14m 21s,Pastalikek65,https://github.com/freeCodeCamp/freeCodeCamp/pull/69530
69527,8h,1 day [Based on 8h on a working day],480,3h,180,1,0,1,2,2026-08-13T18:06:35Z,2026-08-14T18:40:06Z,1d 0h 33m 31s,Dazzanova,https://github.com/freeCodeCamp/freeCodeCamp/pull/69527
69516,0s,0s,0,0s,0,0,0,0,0,2026-08-12T22:33:18Z,2026-08-13T00:38:47Z,2h 5m 29s,syedsohailhussain1,https://github.com/freeCodeCamp/freeCodeCamp/pull/69516
69513,3h,3h,180,3h,180,0,0,0,0,2026-08-12T18:15:26Z,2026-08-12T21:57:02Z,3h 41m 36s,Anwiii,https://github.com/freeCodeCamp/freeCodeCamp/pull/69513
69512,4h,4h,240,4h,240,0,0,0,0,2026-08-12T17:07:13Z,2026-08-12T21:50:24Z,4h 43m 11s,Kunal241207,https://github.com/freeCodeCamp/freeCodeCamp/pull/69512
69510,5h,5h,300,5h,300,0,0,0,0,2026-08-12T16:22:15Z,2026-08-13T00:15:22Z,7h 53m 7s,abdulwaarith0,https://github.com/freeCodeCamp/freeCodeCamp/pull/69510
69492,0s,0s,0,0s,0,0,0,0,0,2026-08-12T10:48:11Z,2026-08-12T11:31:13Z,43m 2s,Lavanya-N24,https://github.com/freeCodeCamp/freeCodeCamp/pull/69492
69486,47m 2s,47m 2s,47,47m 2s,47,0,0,0,0,2026-08-11T19:50:15Z,2026-08-11T21:18:39Z,1h 28m 24s,AzazelSensei,https://github.com/freeCodeCamp/freeCodeCamp/pull/69486
69474,1m 39s,1m 39s,1,1m 39s,1,0,0,0,0,2026-08-10T18:20:51Z,2026-08-10T19:04:18Z,43m 27s,ojeytonwilliams,https://github.com/freeCodeCamp/freeCodeCamp/pull/69474
69472,4h,4h,240,4h,240,0,0,1,1,2026-08-10T17:56:25Z,2026-08-11T11:51:50Z,17h 55m 25s,Sembauke,https://github.com/freeCodeCamp/freeCodeCamp/pull/69472
69454,0s,0s,0,0s,0,0,0,0,0,2026-08-10T00:14:02Z,2026-08-10T00:53:54Z,39m 52s,Supravisor,https://github.com/freeCodeCamp/freeCodeCamp/pull/69454
69452,0s,0s,0,0s,0,0,0,0,0,2026-08-09T20:23:41Z,2026-08-10T00:45:23Z,4h 21m 42s,Supravisor,https://github.com/freeCodeCamp/freeCodeCamp/pull/69452
69451,0s,0s,0,0s,0,0,0,0,0,2026-08-09T19:59:50Z,2026-08-10T01:28:35Z,5h 28m 45s,sk-nayaz,https://github.com/freeCodeCamp/freeCodeCamp/pull/69451
69447,0s,0s,0,0s,0,0,0,0,0,2026-08-09T03:30:48Z,2026-08-09T19:19:48Z,15h 49m,caige13,https://github.com/freeCodeCamp/freeCodeCamp/pull/69447
69423,0s,0s,0,0s,0,0,0,0,0,2026-08-08T07:47:37Z,2026-08-08T12:57:38Z,5h 10m 1s,wehamed,https://github.com/freeCodeCamp/freeCodeCamp/pull/69423
69411,2h 14m 8s,2h 14m 8s,134,2h 13m 45s,133,1,0,1,2,2026-08-07T18:44:02Z,2026-08-07T21:38:18Z,2h 54m 16s,soumyakumari0205-svg,https://github.com/freeCodeCamp/freeCodeCamp/pull/69411
69401,0s,0s,0,0s,0,0,0,0,0,2026-08-07T11:29:37Z,2026-08-07T13:07:33Z,1h 37m 56s,minutechreview,https://github.com/freeCodeCamp/freeCodeCamp/pull/69401
69400,0s,0s,0,0s,0,0,0,0,0,2026-08-07T10:55:34Z,2026-08-07T12:23:25Z,1h 27m 51s,Dazzanova,https://github.com/freeCodeCamp/freeCodeCamp/pull/69400
69385,0s,0s,0,0s,0,0,0,0,0,2026-08-07T05:25:54Z,2026-08-07T13:11:49Z,7h 45m 55s,raitaskeen,https://github.com/freeCodeCamp/freeCodeCamp/pull/69385
