PR#,Review Time,Review Time (working days),Review Time (mins),Initial Response Time (working days),Initial Response Time (mins),Code Review Comments,PR Issue Comments,PR Review Comments,Total Comments,PR Ready On,PR Merged On,Ready->Merge,PR Author,PR URL
69615,4h 7m 49s,4h 7m 49s,247,4h 7m 49s,247,0,0,0,0,2026-08-19T14:30:17Z,2026-08-19T18:38:08Z,4h 7m 51s,Aman739-code,https://github.com/freeCodeCamp/freeCodeCamp/pull/69615
69613,0s,0s,0,0s,0,0,0,0,0,2026-08-19T09:01:03Z,2026-08-19T10:40:53Z,1h 39m 50s,Abhi-kumar23,https://github.com/freeCodeCamp/freeCodeCamp/pull/69613
69605,0s,0s,0,0s,0,0,0,0,0,2026-08-18T22:00:36Z,2026-08-19T10:03:37Z,12h 3m 1s,Supravisor,https://github.com/freeCodeCamp/freeCodeCamp/pull/69605
69601,5h,5h,300,5h,300,0,0,0,0,2026-08-18T16:41:39Z,2026-08-18T21:03:08Z,4h 21m 29s,Kunal241207,https://github.com/freeCodeCamp/freeCodeCamp/pull/69601
69599,2h 49m 12s,2h 49m 12s,169,2h 49m 12s,169,0,0,0,0,2026-08-18T15:46:10Z,2026-08-18T18:49:51Z,3h 3m 41s,Dazzanova,https://github.com/freeCodeCamp/freeCodeCamp/pull/69599
69585,1h 27m,1h 27m,87,1h 27m,87,0,0,0,0,2026-08-18T10:07:17Z,2026-08-18T15:44:10Z,5h 36m 53s,dev-sriramp,https://github.com/freeCodeCamp/freeCodeCamp/pull/69585
69582,2h,2h,120,2h,120,0,0,0,0,2026-08-17T19:37:50Z,2026-08-18T07:24:48Z,11h 46m 58s,caio-bittencourt,https://github.com/freeCodeCamp/freeCodeCamp/pull/69582
69581,3h,3h,180,3h,180,0,0,0,0,2026-08-17T18:58:50Z,2026-08-18T08:13:30Z,13h 14m 40s,AnandKumar-001,https://github.com/freeCodeCamp/freeCodeCamp/pull/69581
69573,4h,4h,240,4h,240,0,0,0,0,2026-08-17T17:30:10Z,2026-08-18T07:07:15Z,13h 37m 5s,laypatel13,https://github.com/freeCodeCamp/freeCodeCamp/pull/69573
69572,4h,4h,240,4h,240,0,0,0,0,2026-08-17T17:22:59Z,2026-08-18T07:32:12Z,14h 9m 13s,Aman739-code,https://github.com/freeCodeCamp/freeCodeCamp/pull/69572
