Reviewed For different PR Authors,Total PRs Reviewed by majestic-owl448 since 2026-02-01,Total Code Review Comments,Total PR Issue Comments,Total PR Review Comments,Total All Comments Made,PR# List
Aman739-code,2,0,0,0,0,"[69572, 69615]"
Abhi-kumar23,1,0,0,0,0,[69613]
Supravisor,16,1,2,2,5,"[66023, 66039, 66164, 66516, 67011, 67766, 68122, 68148, 68422, 68573, 68615, 68838, 69052, 69099, 69354, 69605]"
Kunal241207,2,3,0,3,6,"[69265, 69601]"
Dazzanova,5,6,0,4,10,"[68465, 68522, 68605, 68734, 69599]"
dev-sriramp,1,0,0,0,0,[69585]
caio-bittencourt,4,3,0,2,5,"[67350, 67397, 69212, 69582]"
AnandKumar-001,1,0,0,0,0,[69581]
laypatel13,9,6,1,4,11,"[68753, 68804, 68984, 69008, 69046, 69404, 69506, 69552, 69573]"
BaconMan1168,2,6,1,3,10,"[69569, 69570]"
subodh-77,1,0,1,0,1,[69522]
wunianze666-netizen,1,0,0,0,0,[69520]
Ksound22,9,17,1,13,31,"[65987, 65991, 65995, 66008, 66009, 66019, 67852, 67855, 69518]"
jacobptnguyen,1,0,0,0,0,[69515]
d4-dhiraj,1,1,0,1,2,[69511]
Dario-DC,5,8,0,4,12,"[65700, 65708, 65949, 65957, 69502]"
MahyarCode,1,0,0,0,0,[69501]
fuentez145,1,0,2,0,2,[69483]
arjun2075,1,0,0,0,0,[69481]
waleed-akram,2,1,0,1,2,"[69095, 69464]"
SachaKefif,1,0,0,0,0,[69463]
saikiranrayabarapu,2,0,0,0,0,"[68802, 69449]"
Naman-bh,1,0,0,0,0,[69410]
KesleyDavid,1,0,0,0,0,[69405]
gideonadeti,1,0,0,0,0,[69402]
SudhamshuH,3,1,0,1,2,"[69358, 69360, 69388]"
jeffrinkdev,3,21,0,2,23,"[68868, 69051, 69386]"
typovrak,3,3,0,1,4,"[68793, 68982, 69380]"
MkhalFadel,3,1,0,1,2,"[69204, 69269, 69377]"
priyansh3010,1,1,0,1,2,[69372]
Webmekanic,3,20,1,11,32,"[66867, 69094, 69368]"
Sembauke,40,5,1,4,10,"[66391, 66425, 66429, 66430, 66431, 66452, 66453, 66454, 66455, 66464, 66465, 66466, 66467, 66468, 66469, 66470, 66471, 66472, 66473, 66482, 66483, 66484, 66485, 66486, 66487, 66488, 66495, 66496, 66497, 66498, 66499, 66503, 66504, 66505, 69207, 69208, 69209, 69362, 69363, 69364]"
Priyesh1311421,1,0,0,1,1,[69355]
ShaunSHamilton,1,10,0,3,13,[69351]
Rikka-8964,1,0,0,0,0,[69284]
SnehaAN144,1,0,0,0,0,[69277]
mannoz369,1,1,1,1,3,[69257]
nguyenduybao1,4,3,0,3,6,"[65827, 66047, 66102, 69253]"
masroorhosseini,1,2,0,2,4,[69248]
4ktLuffy,1,0,0,0,0,[69247]
Siripb2,1,0,0,0,0,[69238]
abdulwaarith0,1,0,0,0,0,[69217]
lyeba19,1,0,0,0,0,[69211]
siuu07,1,0,0,0,0,[69200]
NitheshNaik,1,0,0,0,0,[69199]
SujayBWJ,1,0,0,0,0,[69189]
enamulhasan01,1,0,0,1,1,[69188]
mohamedmastouri-hue,1,0,0,0,0,[69184]
MeiSiristhebest,1,0,0,0,0,[69178]
d3vpool,1,0,0,0,0,[69172]
anjupathak03,1,0,0,0,0,[69163]
benpaul2002,1,0,0,0,0,[69162]
TheRodzz,1,0,1,0,1,[69159]
vinniit-23,1,1,1,2,4,[69144]
Nishant9764,1,0,0,0,0,[69140]
Jamwilltim,1,0,0,0,0,[69138]
