Reviewed For different PR Authors,Total PRs Reviewed by moT01 since 2026-02-01,Total Code Review Comments,Total PR Issue Comments,Total PR Review Comments,Total All Comments Made,PR# List
raisedadead,2,0,0,0,0,"[65974, 68890]"
ojeytonwilliams,4,0,0,0,0,"[65669, 65942, 66177, 68582]"
homayounmmdy,1,0,0,0,0,[68489]
Sembauke,35,0,0,0,0,"[67917, 67955, 67957, 67958, 67964, 67983, 67985, 67986, 68037, 68039, 68056, 68059, 68127, 68128, 68129, 68131, 68132, 68139, 68140, 68230, 68231, 68232, 68233, 68239, 68240, 68345, 68347, 68349, 68361, 68363, 68364, 68366, 68368, 68383, 68384]"
imsomilg,1,0,0,0,0,[68134]
Dennis01601,1,0,1,0,1,[68029]
majestic-owl448,10,0,1,0,1,"[65872, 66290, 66291, 66292, 66293, 66294, 66295, 66296, 67969, 67993]"
neerajgouda06,1,0,1,0,1,[67204]
QuincyLarson,1,0,0,0,0,[66851]
jdwilkin4,2,2,1,2,5,"[65928, 66315]"
AdityaSingh-18,2,0,0,0,0,"[65768, 66210]"
Dario-DC,2,2,0,1,3,"[65949, 65957]"
Jeevankumar-s,1,0,0,0,0,[65749]
