Reviewer,PR Number,Review time (mins),Initial Response time (mins),Code Review Comments,PR Issue Comments,PR Review Comments,Total Comments,PR URL
Sembauke,PR 69474,38,38,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/69474
Sembauke,PR 69079,53,53,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/69079
Sembauke,PR 68949,1920,1920,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/68949
Sembauke,PR 68884,360,360,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/68884
Sembauke,PR 68880,480,480,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/68880
Sembauke,PR 67683,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/67683
Sembauke,PR 67653,3600,3600,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/67653
Sembauke,PR 66765,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66765
Sembauke,PR 66267,0,0,0,2,0,2,https://github.com/freeCodeCamp/freeCodeCamp/pull/66267
Sembauke,PR 65868,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65868
Sembauke,PR 65865,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65865
Sembauke,PR 65862,360,360,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65862
Sembauke,PR 65860,420,420,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65860
Sembauke,PR 65857,5760,5760,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65857
Sembauke,PR 65854,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65854
