Reviewer,PR Number,Review time (mins),Initial Response time (mins),Code Review Comments,PR Issue Comments,PR Review Comments,Total Comments,PR URL
raisedadead,PR 68852,89,89,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/68852
raisedadead,PR 68492,720,720,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/68492
raisedadead,PR 67683,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/67683
raisedadead,PR 67680,66,66,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/67680
raisedadead,PR 67653,5520,377,0,0,1,1,https://github.com/freeCodeCamp/freeCodeCamp/pull/67653
raisedadead,PR 67234,120,120,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/67234
raisedadead,PR 66859,480,480,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66859
raisedadead,PR 66771,1380,1380,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66771
raisedadead,PR 66714,4,4,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66714
raisedadead,PR 66323,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66323
raisedadead,PR 66311,480,480,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66311
raisedadead,PR 66259,240,240,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66259
raisedadead,PR 66241,420,420,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66241
raisedadead,PR 66128,4,4,0,2,0,2,https://github.com/freeCodeCamp/freeCodeCamp/pull/66128
raisedadead,PR 66060,139,139,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66060
raisedadead,PR 65969,180,180,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65969
raisedadead,PR 65947,360,360,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65947
raisedadead,PR 65941,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65941
raisedadead,PR 65933,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65933
raisedadead,PR 65878,300,300,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65878
raisedadead,PR 65877,240,240,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65877
raisedadead,PR 65855,1162,1162,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65855
raisedadead,PR 65838,300,300,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65838
raisedadead,PR 65736,480,0,0,1,1,2,https://github.com/freeCodeCamp/freeCodeCamp/pull/65736
raisedadead,PR 65734,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65734
raisedadead,PR 65698,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65698
raisedadead,PR 65679,134,134,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65679
raisedadead,PR 65665,78,78,2,0,0,2,https://github.com/freeCodeCamp/freeCodeCamp/pull/65665
raisedadead,PR 65660,29,29,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65660
