PR#,Review Time,Review Time (working days),Review Time (mins),Initial Response Time (working days),Initial Response Time (mins),Code Review Comments,PR Issue Comments,PR Review Comments,Total Comments,PR Ready On,PR Merged On,Ready->Merge,PR Author,PR URL
69487,8h,1 day [Based on 8h on a working day],480,1 day [Based on 8h on a working day],480,0,0,0,0,2026-08-14T10:31:57Z,2026-08-17T02:22:33Z,2d 15h 50m 36s,ahmaxed,https://github.com/freeCodeCamp/freeCodeCamp/pull/69487
69271,0s,0s,0,0s,0,0,0,0,0,2026-08-05T10:25:54Z,2026-08-05T11:52:18Z,1h 26m 24s,Sembauke,https://github.com/freeCodeCamp/freeCodeCamp/pull/69271
69036,0s,0s,0,0s,0,0,0,0,0,2026-07-25T12:11:25Z,2026-07-27T03:51:30Z,1d 15h 40m 5s,anupamme,https://github.com/freeCodeCamp/freeCodeCamp/pull/69036
68940,0s,0s,0,0s,0,0,0,0,0,2026-07-19T16:04:43Z,2026-07-20T03:34:34Z,11h 29m 51s,mariamanbar,https://github.com/freeCodeCamp/freeCodeCamp/pull/68940
68923,1h 38m,1h 38m,98,0s,0,0,1,1,2,2026-07-18T08:25:19Z,2026-07-27T14:44:48Z,9d 6h 19m 29s,ShaunSHamilton,https://github.com/freeCodeCamp/freeCodeCamp/pull/68923
68894,0s,0s,0,0s,0,0,0,0,0,2026-07-16T21:19:53Z,2026-07-17T02:41:03Z,5h 21m 10s,ShaunSHamilton,https://github.com/freeCodeCamp/freeCodeCamp/pull/68894
68852,1h 29m 4s,1h 29m 4s,89,1h 29m 4s,89,0,0,0,0,2026-07-16T16:20:02Z,2026-07-16T17:49:14Z,1h 29m 12s,ojeytonwilliams,https://github.com/freeCodeCamp/freeCodeCamp/pull/68852
68851,1m 29s,1m 29s,1,1m 29s,1,0,0,0,0,2026-07-15T15:11:30Z,2026-07-15T15:13:07Z,1m 37s,huyenltnguyen,https://github.com/freeCodeCamp/freeCodeCamp/pull/68851
68825,8h 49m,1 day and 49m [Based on 8h on a working day],529,0s,0,2,0,1,3,2026-07-14T10:14:38Z,2026-07-15T13:50:05Z,1d 3h 35m 27s,ShaunSHamilton,https://github.com/freeCodeCamp/freeCodeCamp/pull/68825
68492,12h,1 day and 4h [Based on 8h on a working day],720,1 day and 4h [Based on 8h on a working day],720,0,0,0,0,2026-07-02T17:28:27Z,2026-07-04T02:26:23Z,1d 8h 57m 56s,ojeytonwilliams,https://github.com/freeCodeCamp/freeCodeCamp/pull/68492
68425,7h,7h,420,7h,420,0,0,0,0,2026-07-02T14:30:08Z,2026-07-03T08:15:10Z,17h 45m 2s,moT01,https://github.com/freeCodeCamp/freeCodeCamp/pull/68425
68177,16h 58m,2 days and 58m [Based on 8h on a working day],1018,2 days and 58m [Based on 8h on a working day],1018,0,0,0,0,2026-06-25T14:50:09Z,2026-07-22T15:08:47Z,27d 0h 18m 38s,moT01,https://github.com/freeCodeCamp/freeCodeCamp/pull/68177
68176,8h,1 day [Based on 8h on a working day],480,1 day [Based on 8h on a working day],480,0,0,0,0,2026-06-23T13:50:49Z,2026-06-24T07:37:30Z,17h 46m 41s,ahmaxed,https://github.com/freeCodeCamp/freeCodeCamp/pull/68176
68073,5h,5h,300,5h,300,0,0,1,1,2026-06-18T16:05:51Z,2026-06-19T07:53:09Z,15h 47m 18s,majestic-owl448,https://github.com/freeCodeCamp/freeCodeCamp/pull/68073
68047,1h 5m,1h 5m,65,1h 5m,65,0,0,0,0,2026-06-18T08:39:20Z,2026-06-18T14:06:08Z,5h 26m 48s,majestic-owl448,https://github.com/freeCodeCamp/freeCodeCamp/pull/68047
67969,6h,6h,360,6h,360,0,0,0,0,2026-06-16T15:45:38Z,2026-06-17T15:57:01Z,1d 0h 11m 23s,majestic-owl448,https://github.com/freeCodeCamp/freeCodeCamp/pull/67969
67914,5h,5h,300,5h,300,0,0,0,0,2026-06-12T16:32:28Z,2026-06-14T12:12:22Z,1d 19h 39m 54s,Sembauke,https://github.com/freeCodeCamp/freeCodeCamp/pull/67914
67740,6d 10h 13m,19 days and 2h 13m [Based on 8h on a working day],9253,19 days and 2h 13m [Based on 8h on a working day],9253,0,0,0,0,2026-06-01T12:11:50Z,2026-06-29T15:13:23Z,28d 3h 1m 33s,Sembauke,https://github.com/freeCodeCamp/freeCodeCamp/pull/67740
67687,2h 17m,2h 17m,137,2h 17m,137,0,0,0,0,2026-05-29T12:30:54Z,2026-05-29T15:17:58Z,2h 47m 4s,ShaunSHamilton,https://github.com/freeCodeCamp/freeCodeCamp/pull/67687
67683,0s,0s,0,0s,0,0,0,0,0,2026-05-29T09:49:19Z,2026-05-29T12:50:24Z,3h 1m 5s,ojeytonwilliams,https://github.com/freeCodeCamp/freeCodeCamp/pull/67683
67680,1h 6m 17s,1h 6m 17s,66,1h 6m 17s,66,0,0,0,0,2026-05-29T14:16:11Z,2026-05-29T19:06:26Z,4h 50m 15s,ojeytonwilliams,https://github.com/freeCodeCamp/freeCodeCamp/pull/67680
67653,3d 20h,11 days and 4h [Based on 8h on a working day],5520,6h 17m,377,0,0,1,1,2026-05-28T17:32:09Z,2026-06-14T12:16:19Z,16d 18h 44m 10s,ojeytonwilliams,https://github.com/freeCodeCamp/freeCodeCamp/pull/67653
67464,1d,3 days [Based on 8h on a working day],1440,3 days [Based on 8h on a working day],1440,0,0,0,0,2026-05-20T02:06:29Z,2026-05-27T23:57:20Z,7d 21h 50m 51s,huyenltnguyen,https://github.com/freeCodeCamp/freeCodeCamp/pull/67464
67434,0s,0s,0,0s,0,0,0,0,0,2026-05-15T22:57:55Z,2026-05-16T04:04:41Z,5h 6m 46s,huyenltnguyen,https://github.com/freeCodeCamp/freeCodeCamp/pull/67434
67234,2h,2h,120,2h,120,0,0,0,0,2026-05-05T07:58:01Z,2026-05-05T15:00:38Z,7h 2m 37s,ojeytonwilliams,https://github.com/freeCodeCamp/freeCodeCamp/pull/67234
67221,23h,2 days and 7h [Based on 8h on a working day],1380,2 days and 7h [Based on 8h on a working day],1380,0,0,0,0,2026-05-20T14:56:46Z,2026-05-27T23:58:13Z,7d 9h 1m 27s,huyenltnguyen,https://github.com/freeCodeCamp/freeCodeCamp/pull/67221
67187,10h 8m,1 day and 2h 8m [Based on 8h on a working day],608,1 day and 2h 8m [Based on 8h on a working day],608,0,0,0,0,2026-05-03T21:50:39Z,2026-05-05T15:09:05Z,1d 17h 18m 26s,huyenltnguyen,https://github.com/freeCodeCamp/freeCodeCamp/pull/67187
67154,2h 25m 42s,2h 25m 42s,145,2h 25m 42s,145,0,0,0,0,2026-04-28T13:57:00Z,2026-04-28T16:22:48Z,2h 25m 48s,huyenltnguyen,https://github.com/freeCodeCamp/freeCodeCamp/pull/67154
67147,3h 20m,3h 20m,200,3h 20m,200,0,0,0,0,2026-04-27T22:54:03Z,2026-04-28T16:21:05Z,17h 27m 2s,huyenltnguyen,https://github.com/freeCodeCamp/freeCodeCamp/pull/67147
67142,1h,1h,60,1h,60,0,0,0,0,2026-04-28T20:06:16Z,2026-04-29T06:29:41Z,10h 23m 25s,moT01,https://github.com/freeCodeCamp/freeCodeCamp/pull/67142
67140,17m 46s,17m 46s,17,17m 46s,17,0,0,0,0,2026-04-27T14:57:10Z,2026-04-27T19:05:28Z,4h 8m 18s,Sembauke,https://github.com/freeCodeCamp/freeCodeCamp/pull/67140
67105,0s,0s,0,0s,0,0,0,0,0,2026-04-25T01:22:29Z,2026-04-25T06:09:53Z,4h 47m 24s,huyenltnguyen,https://github.com/freeCodeCamp/freeCodeCamp/pull/67105
67104,0s,0s,0,0s,0,0,0,0,0,2026-04-24T23:42:21Z,2026-04-25T06:11:09Z,6h 28m 48s,huyenltnguyen,https://github.com/freeCodeCamp/freeCodeCamp/pull/67104
67089,2h 8m,2h 8m,128,2h 8m,128,0,0,0,0,2026-04-24T09:05:41Z,2026-04-24T15:08:11Z,6h 2m 30s,Sembauke,https://github.com/freeCodeCamp/freeCodeCamp/pull/67089
66859,8h,1 day [Based on 8h on a working day],480,1 day [Based on 8h on a working day],480,0,0,0,0,2026-04-08T13:45:05Z,2026-04-09T04:58:07Z,15h 13m 2s,ojeytonwilliams,https://github.com/freeCodeCamp/freeCodeCamp/pull/66859
66851,0s,0s,0,0s,0,0,1,0,1,2026-04-07T21:02:02Z,2026-04-07T21:54:42Z,52m 40s,QuincyLarson,https://github.com/freeCodeCamp/freeCodeCamp/pull/66851
66816,8h,1 day [Based on 8h on a working day],480,1 day [Based on 8h on a working day],480,0,1,0,1,2026-04-05T18:28:37Z,2026-04-07T07:34:53Z,1d 13h 6m 16s,NotYash1066,https://github.com/freeCodeCamp/freeCodeCamp/pull/66816
66793,0s,0s,0,0s,0,0,1,0,1,2026-04-04T10:37:29Z,2026-04-04T13:41:13Z,3h 3m 44s,GulshanJha00,https://github.com/freeCodeCamp/freeCodeCamp/pull/66793
66771,23h,2 days and 7h [Based on 8h on a working day],1380,2 days and 7h [Based on 8h on a working day],1380,0,0,0,0,2026-04-03T14:55:17Z,2026-04-08T15:15:07Z,5d 0h 19m 50s,ojeytonwilliams,https://github.com/freeCodeCamp/freeCodeCamp/pull/66771
66714,4m 54s,4m 54s,4,4m 54s,4,0,0,0,0,2026-03-31T13:12:35Z,2026-03-31T14:31:28Z,1h 18m 53s,ojeytonwilliams,https://github.com/freeCodeCamp/freeCodeCamp/pull/66714
66687,2d 7h,6 days and 7h [Based on 8h on a working day],3300,6 days and 7h [Based on 8h on a working day],3300,0,0,0,0,2026-03-30T14:02:27Z,2026-04-08T07:59:28Z,8d 17h 57m 1s,Sembauke,https://github.com/freeCodeCamp/freeCodeCamp/pull/66687
66592,0s,0s,0,0s,0,0,0,1,1,2026-03-22T22:34:15Z,2026-03-23T05:10:23Z,6h 36m 8s,Nouhaaouiti,https://github.com/freeCodeCamp/freeCodeCamp/pull/66592
