Reviewed For different PR Authors,Total PRs Reviewed by raisedadead since 2026-02-01,Total Code Review Comments,Total PR Issue Comments,Total PR Review Comments,Total All Comments Made,PR# List
ahmaxed,3,0,0,0,0,"[65695, 68176, 69487]"
Sembauke,13,0,3,0,3,"[65722, 65729, 65850, 66011, 66013, 66367, 66572, 66687, 67089, 67140, 67740, 67914, 69271]"
anupamme,1,0,0,0,0,[69036]
mariamanbar,1,0,0,0,0,[68940]
ShaunSHamilton,4,2,1,2,5,"[67687, 68825, 68894, 68923]"
ojeytonwilliams,29,2,3,2,7,"[65660, 65665, 65679, 65698, 65734, 65736, 65838, 65855, 65877, 65878, 65933, 65941, 65947, 65969, 66060, 66128, 66241, 66259, 66311, 66323, 66714, 66771, 66859, 67234, 67653, 67680, 67683, 68492, 68852]"
huyenltnguyen,18,0,1,0,1,"[65667, 65670, 65671, 66222, 66242, 66380, 66514, 66558, 66565, 67104, 67105, 67147, 67154, 67187, 67221, 67434, 67464, 68851]"
moT01,4,0,0,0,0,"[66223, 67142, 68177, 68425]"
majestic-owl448,8,0,1,1,2,"[65655, 65976, 66476, 66542, 66543, 67969, 68047, 68073]"
QuincyLarson,1,0,1,0,1,[66851]
NotYash1066,1,0,1,0,1,[66816]
GulshanJha00,1,0,1,0,1,[66793]
Nouhaaouiti,1,0,0,1,1,[66592]
Harshithk951,1,0,0,0,0,[66340]
Supravisor,1,0,2,0,2,[66307]
jeevithdev,1,0,0,0,0,[66162]
yeonjuan,1,0,0,0,0,[66015]
realMelTuc,1,0,0,0,0,[65971]
umutKaracelebi,1,4,0,2,6,[65951]
Jeevankumar-s,1,0,0,0,0,[65950]
vicgolding,1,3,0,1,4,[65946]
scissorsneedfoodtoo,1,0,0,0,0,[65817]
a2937,1,0,0,0,0,[65662]
